station_code,station_name,state,zone,address,latitude,longitude
KKK,Khakharia,Gujarat,WR,"State Highway 110, Gujarat",21.653052,70.932064
KALI,Kaili,Uttar Pradesh,NR,"State Highway 18, Uttar Pradesh",28.785394,77.75277
KKAE,Kaikala,West Bengal,ER,"State Highway 2, West Bengal",22.83998676,88.09337895
JTH,Jhoktahal Singh,Punjab,NR,"Jhoktahal Sing, Punjab",30.80909,74.495544
JRX,Juriagaon,Assam,NFR,"Mathaouri Rd, Assam",26.441079000000002,92.644475
KGKD,Kang Khurd,Punjab,NR,"Kang Khurd, Punjab",31.126338,75.213236
KARH,Kakraha Rest House,Uttar Pradesh,NER,"State Highway 26, Uttar Pradesh",27.998447,81.420529
KHGR,Kashinagar Halt,West Bengal,ER,"Kashinagar, West Bengal",21.90539421,88.20132346
KCHV,Kachchanvilai,Tamil Nadu,SR,"Thoothukudi, Tamil Nadu",8.579343999999999,78.022519
KDBM,Khed Brahma,Gujarat,WR,"Khedbrahma, Gujarat",24.029405999999998,73.041259
JTS,Jatusana,Haryana,NWR,"Nanagal Pathani Rd, Haryana",28.331448,76.52110400000001
KHNM,Kunda Harnamganj,Uttar Pradesh,NR,"Kunda, Uttar Pradesh",25.714175,81.509547
KI,KONDAPALLI,Andhra Pradesh,SCR,"Kondapalli, Andhra Pradesh",16.623242,80.54669299999999
KII,KILLE,Tamil Nadu,SR,"NH 45A, Tamil Nadu",11.43755,79.722552
KLPG,KAMALPURGRAM,Chhattisgarh,SECR,"National Highway 78, Chhattisgarh",23.166227,83.080298
KFA,KOPARIA,Bihar,ECR,"Bihar, Bihar",25.661041,86.59816
KHDI,KHANDERI,Gujarat,WR,"Rajkot, Gujarat",22.361075999999997,70.716676
KHC,KHORANA,Gujarat,WR,"State Highway 113, Gujarat",22.39349,70.82999099999999
KDU,KADAMBUR,Tamil Nadu,SR,"Kadambur, Tamil Nadu",9.002019,77.86363300000001
KDN,KUDATINI,Karnataka,SWR,"Bellary, Karnataka",15.215160000000001,76.76356899999999
KKB,KARAK BEL,Madhya Pradesh,WCR,"Karak Bel, Madhya Pradesh",22.992315,79.34125900000001
KJG,KARAJGI,Karnataka,SWR,"haveri, Karnataka",14.851426,75.407636
KEB,KARAMBELI,Gujarat,WR,"National Highway 8, Gujarat",20.316435,72.90153400000001
KEZ,Kelzar,Maharashtra,SECR,"Chandrapur, Maharashtra",19.98294,79.56394
KEP,Kelanpur,Gujarat,WR,"SH 11, Gujarat",22.233139,73.277017
KDHL,Kundhela,Gujarat,WR,"Vadodara, Gujarat",22.227958,73.28142
KESR,Kesri Singhpur,Rajasthan,NWR,"Kesrisinghpur, Rajasthan",29.950588999999997,73.61854
KLMC,KALAMBOLI,Maharashtra,CR,"Navi Mumbai., Maharashtra",19.035625,73.11480900000001
KGQ,KASARAGOD,Kerala,SR,"Kasaragod, Kerala",12.491175,74.987652
KLRD,KALI ROAD,Gujarat,WR,"Ahmedabad, Gujarat",23.097473,72.57787300000001
KNGT,KARNAWAS,Haryana,NWR,"Karnawas, Haryana",28.130539000000002,76.590073
PSL,PARISAL,Rajasthan,NWR,"Khairthal, Rajasthan",27.669476,76.61526599999999
AJE,ANJAR,Gujarat,WR,"Anjar, Gujarat",23.1194723,70.0366109
KHA,Khaigaon,Madhya Pradesh,WCR,"East Nimar, Madhya Pradesh",22.011786,76.48125700000001
KHLL,KETOHALLI,Karnataka,SWR,"Bengaluru, Karnataka",12.758925999999999,77.335544
KJP,Khojeepura,Madhya Pradesh,NCR,"Khojeepura, Madhya Pradesh",25.918097,76.851134
KMB,Kalv Amba,Gujarat,WR,"Gujarat, Gujarat",,
KLKR,Kalikapur,West Bengal,ER,"Kalikapur Staion Rd, West Bengal",22.412606,88.47502999999999
KNDR,Kandari,Gujarat,WR,"Gujarat, Gujarat",,
KNGM,Kangam,Gujarat,WR,"Gujarat, Gujarat",,
KLW,Kalwan Halt,West Bengal,ER,"Kalwan, West Bengal",22.076525,88.256019
KDRI,Kendri,Chhattisgarh,SECR,"Kendri, Chhattisgarh",21.131542,81.729967
KKNA,Khunkhuna,Rajasthan,NWR,"State Highway 60, Rajasthan",27.277760999999998,74.49286000000001
KNBR,Kanaibazar,Assam,NFR,"National Highway 44, Assam",24.638740000000002,92.326722
KHRA,Khachera,Rajasthan,NWR,"State Highway 37, Rajasthan",27.530759924999998,75.6489122412
KLOD,Kelod,Maharashtra,SECR,"Kelod, Maharashtra",21.470222,78.891017
KHTU,Khatu,Rajasthan,NWR,"Khatu Khurd, Rajasthan",27.116118,74.331631
KFV,Kundara East,Kerala,SR,"Kollam-Tirumangalam Rd, Kerala",8.969608,76.691337
KLZ,Keolari,Madhya Pradesh,SECR,"State Highway 11A, Madhya Pradesh",22.374838,79.90885
KLE,Kaithal,Haryana,NR,"Haryana, Haryana",29.792735,76.397796
SLHP,SULAH HIMACHAL PRADESH,Himachal Pradesh,NR,"Sulah, Himachal Pradesh",32.070953,76.475805
KKZ,Kottarakara,Kerala,SR,"Kottarakkara, Kerala",9.000279,76.765986
KIY,Kalayat,Haryana,NR,"Haryana, Haryana",29.679483800099998,76.2281810498
KIJ,Kuldiha,Orissa,SER,"Mayurbhanj, Orissa",22.3331028,86.27664089999999
KMRD,KALAMB ROAD,Maharashtra,CR,"Tadwale, Maharashtra",18.371892000000003,76.04934
KMC,KAMAREDDI,Andhra Pradesh,SCR,"Kamareddi, Andhra Pradesh",18.32586,78.335858
KLB,KIRAOLI,Uttar Pradesh,NCR,"Kiraoli, Uttar Pradesh",27.133898,77.78581199999999
KNVT,KINWAT,Maharashtra,SCR,"Kinwat, Maharashtra",19.618502,78.20243500000001
KJLU,KHARI JHALU,Uttar Pradesh,NR,"Jhalu, Uttar Pradesh",29.331864,78.21890400000001
KHV,KARAINTHI,Haryana,NR,"NH 71, Haryana",29.0138203113,76.4817815491
KIU,KINANA,Haryana,NR,"Brarkhera, Haryana",29.227482,76.336659
KLWN,KALWAN,Haryana,NR,"MDR 111, Haryana",29.701333,75.952638
KKP,KOT KAPURA,Punjab,NR,"Kotkapura, Punjab",30.578495999999998,74.818173
KLT,KULITALAI,Tamil Nadu,SR,"Kulithalai, Tamil Nadu",10.932727,78.42089299999999
KKET,KAMRUP KHETRI,Assam,NFR,"Khetri, Assam",26.1271784614,92.08187667179999
KM,KALEEM,Goa,SWR,"Kalay Railway Station, Goa",15.293341,74.18884299999999
KNP,KHANAPUR,Karnataka,SWR,"Khanapur, Karnataka",15.6379344079,74.49975681459999
PRSR,Paharsar,Rajasthan,NWR,"Paharsar, Rajasthan",28.764429948734062,75.41038356721401
KMLI,KAMLI,Gujarat,WR,"Chhapi, Gujarat",23.863182,72.375949
SHIV,SHINDAWANE,Maharashtra,CR,"Walti Goan, Maharashtra",18.434555000000003,74.163601
KKW,KANKAVALI,Maharashtra,KR,"Kankavli, Maharashtra",16.2587773,73.71987089999999
KMQ,KUMBLA,Kerala,SR,"Kumbla, Kerala",12.590263,74.943503
KNPL,Kandanur Puduvayal,Tamil Nadu,SR,"State Highway 28, Tamil Nadu",,
KORA,Kora,Gujarat,WR,"Gujarat, Gujarat",,
KORL,Kural,Gujarat,WR,"Vadodara Jambusar, Gujarat",,
KLQ,Kilikollur,Kerala,SR,"Kollam, Kerala",8.9182952655,76.6327939999
KQV,Kinkhed,Maharashtra,CR,"State Highway 201, Maharashtra",,
KR,Kevdi,Gujarat,WR,"SH 166, Gujarat",,
KNDL,Khandel,Rajasthan,NWR,"MDR 59, Rajasthan",26.9529472159,75.2798777728
KHRK,Kharak,Haryana,NWR,"kharak Village, Haryana",28.83755,76.308694
KPKD,Khapri Kheda,Maharashtra,SECR,"State Highway 243, Maharashtra",21.279557,79.11366699999999
KOTI,Koti,Himachal Pradesh,NR,"National Highway 22, Himachal Pradesh",30.852821,76.994519
KKTA,Kollikhutaha,Bihar,ER,"State Highway 19, Bihar",25.18966,86.987831
KKRL,Kakrala,Punjab,NR,"Nabha, Punjab",30.367614999999997,76.074534
KJY,Khurja City,Uttar Pradesh,NR,"Sikri, Uttar Pradesh",28.252454,77.84116100000001
KQI,KALACHAND,Assam,NFR,"Diakkawn Rd, Assam",25.339050999999998,93.13311999999999
KPV,KASHIPUR,Uttarakhand,NER,"Kashipur, Uttarakhand",29.204978,78.96071
KNKT,KANAKOT,Gujarat,WR,"State Highway 113, Gujarat",22.488122,70.876238
KODI,KODI,Maharashtra,SCR,"Ranjani, Maharashtra",19.710119,76.00525300000001
KNO,KUNDGOL,Karnataka,SWR,"Kundgol, Karnataka",15.258352,75.250168
KTHU,KATHUA,Jammu and Kashmir,NR,"Kathua, Jammu and Kashmir",32.397897,75.551922
KTF,KOT FATTEH,Punjab,NR,"Bathinda, Punjab",30.120715999999998,75.087931
KRH,KHAIRTHAL,Rajasthan,NWR,"Khairthal, Rajasthan",27.797324415,76.64170412169999
KODR,Kodinar,Gujarat,WR,"Kodinar, Gujarat",20.797371000000002,70.695807
KQS,Kailaras,Madhya Pradesh,NCR,"Kailaras, Madhya Pradesh",26.3046614487,77.62065939360001
KRJN,Karanjali Halt,West Bengal,ER,"Tengrabichi, West Bengal",,
KRJT,Karanja Town,Maharashtra,CR,"Karanja, Maharashtra",,
KUG,KUSUGALI,Karnataka,SWR,"National Highway 63, Karnataka",15.392095,75.233643
KSG,KISHANGARH,Rajasthan,NWR,"Kishangarh, Rajasthan",26.588968,74.855553
KRJR,KARJARA,Bihar,ECR,"State Highway 8, Bihar",24.808297,85.151844
KOL,KOLAD,Maharashtra,KR,"Kolad, Maharashtra",18.392294,73.223871
KRMI,KARMALI,Goa,KR,"Karmali North, Goa",15.490212900000001,73.9246644
KRMG,Kumaramangalam,Tamil Nadu,SR,"Avur Rd, Tamil Nadu",10.696433,78.724107
KSAI,Kosadi Halt,Gujarat,WR,"Mosali, Gujarat",,
KSBG,Khusta Buzurg,Maharashtra,CR,"Amravati, Maharashtra",,
KPQ,KANNAPURAM,Kerala,SR,"Kannur District, Kerala",11.984076,75.31381
KRHR,Kharar,Punjab,NR,"Kharar, Punjab",30.726293624427043,76.6360420268029
KRJA,Karanja,Maharashtra,CR,"Karanja, Maharashtra",20.491825750710376,77.48152183368802
KTGM,Kayasthagram,Assam,NFR,"National Highway 44, Assam",24.721172,92.353216
KNGR,Kashinagar Halt,Orissa,ECoR,"State Highway 34, Orissa",18.8568644473,83.87569620789999
KRBO,Karaboh,Madhya Pradesh,SECR,"SH 26, Madhya Pradesh",22.054579999999998,79.26235799999999
KPA,Kanchrapara,West Bengal,ER,"Kanchrapara, West Bengal",22.946024,88.451231
KTNI,Kapustalni,Maharashtra,CR,"Amravati, Maharashtra",,
KTNR,Kirtyanand Nagar,Bihar,ECR,"Purnea, Bihar",,
KRXM,Krishnamohan Halt,West Bengal,ER,"Krishnamohan, West Bengal",22.330258,88.449759
KRDH,Koradih,Maharashtra,SECR,"Nagpur, Maharashtra",21.249152,79.10140100000001
KTPM,Kotturpuram,Tamil Nadu,SR,"Chennai, Tamil Nadu",13.013835,80.24820899999999
KRP,Krishnapur,West Bengal,ER,"Lalgola, West Bengal",24.406330999999998,88.25613200000001
KUTL,Kuwanthal,Rajasthan,NWR,"Pali, Rajasthan",25.498041,73.918994
KRKN,Karkend,West Bengal,SER,"Karkend, West Bengal",23.765615,86.369799
KTBR,Kasturba Nagar,Tamil Nadu,SR,"Chennai, Tamil Nadu",13.005609,80.248086
